ncbi_id	Size	GC	Not_ACGT	seq_id_version	seq_desc	seq_type	seq_base	Release_Date	Species	Genus	Family	Sequence_Type	Nuc_Completeness	Genotype	Segment	Authors	Publications	Geo_Location	Host	Isolation_Source	Collection_Date	BioSample	GenBank_Title
AC_000192	31526	42.03	0	AC_000192.1	"Murine hepatitis virus strain JHM, complete genome"	linear	RNA	2013-12-20T00:00:00Z	Murine coronavirus	Betacoronavirus	Coronaviridae	RefSeq	complete			"Baker,S., Nielsen,E.M., Jukneliene,D., the PATRIC-BRC project (https://patric.vbi.vt.edu), the PATRIC-BRC project  (https://patric.vbi.vt.edu)"							"Murine hepatitis virus strain JHM, complete genome"
AF220295	31100	36.98	0	AF220295.1	"Bovine coronavirus strain Quebec, complete genome"	linear	RNA	2001-12-12T00:00:00Z	Betacoronavirus 1	Betacoronavirus	Coronaviridae	GenBank	complete			"Yoo,D., Pei,Y., Parker,M.D., Cox,G.J."	11774548						"Bovine coronavirus strain Quebec, complete genome"
AF353511	28033	42.02	0	AF353511.1	"Porcine epidemic diarrhea virus strain CV777, complete genome"	linear	RNA	2001-04-23T00:00:00Z	Porcine epidemic diarrhea virus	Alphacoronavirus	Coronaviridae	GenBank	complete			"Bridgen,A., Duarte,M., Tobler,K., Laude,H., Ackermann,M., Rasschaert,D., Kocherhans,R., Carvajal,A."	"8397280, 8291230, 8830538, 9782358, 11724265"						"Porcine epidemic diarrhea virus strain CV777, complete genome"
AF391541	31028	37.12	0	AF391541.1	"Bovine coronavirus isolate BCoV-ENT, complete genome"	linear	RNA	2001-08-02T00:00:00Z	Betacoronavirus 1	Betacoronavirus	Coronaviridae	GenBank	complete			"Chouljenko,V.N., Lin,X.Q., Storz,J., Kousoulas,K.G., Gorbalenya,A.E."	11714968						"Bovine coronavirus isolate BCoV-ENT, complete genome"
AF391542	31028	37.11	0	AF391542.1	"Bovine coronavirus isolate BCoV-LUN, complete genome"	linear	RNA	2002-01-02T00:00:00Z	Betacoronavirus 1	Betacoronavirus	Coronaviridae	GenBank	complete			"Chouljenko,V.N., Lin,X.Q., Storz,J., Kousoulas,K.G., Gorbalenya,A.E."	11714968						"Bovine coronavirus isolate BCoV-LUN, complete genome"
AY274119	29751	40.76	0	AY274119.3	"Severe acute respiratory syndrome-related coronavirus isolate Tor2, complete genome"	linear	RNA	2003-04-14T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"He,R., Dobie,F., Ballantine,M., Leeson,A., Li,Y., Bastien,N., Cutts,T., Andonov,A., Cao,J., Booth,T.F., Plummer,F.A., Tyler,S., Baker,L., Li,X."	15020242	Canada: Toronto	Homo sapiens				"Severe acute respiratory syndrome-related coronavirus isolate Tor2, complete genome"
AY278487	29745	40.77	0	AY278487.3	"SARS coronavirus BJ02, complete genome"	linear	RNA	2003-04-21T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Wu,Q., Zhang,Y., Lu,H., Wang,J., He,X., Liu,Y., Ye,C., Lin,W., Hu,J., Ji,J., Xu,J., Ye,J., Hu,Y., Chen,W., Li,S., Bi,S., Yang,H., Qin,E., Zhu,Q., Yu,M., Fan,B., Chang,G., Si,B., Yang,B., Peng,W., Jiang,T., Liu,B., Deng,Y., Liu,H., Wang,C., Li,Y., Gan,Y., Li,X., Lu,F., Tan,G., Yang,R., Cao,W., Cong,L., Dong,W., Han,Y., Hu,W., Lei,M., Li,C., Li,G., Li,H., Li,W., Liu,J., Liu,Z., Ni,P., Qi,Q., Sun,Y., Tang,L., Tong,Z., Wang,X., Xi,Y., Xu,Z., Yang,L., Zhang,B., Zhang,F., Zhang,J., Zhang,X., Zhou,J."	15626343						"SARS coronavirus BJ02, complete genome"
AY278488	29725	40.79	0	AY278488.2	"SARS coronavirus BJ01, complete genome"	linear	RNA	2003-04-21T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Wu,Q., Zhang,Y., Lu,H., Wang,J., He,X., Liu,Y., Ye,C., Lin,W., Hu,J., Ji,J., Xu,J., Ye,J., Hu,Y., Chen,W., Li,S., Bi,S., Yang,H., Qin,E., Zhu,Q., Yu,M., Fan,B., Chang,G., Si,B., Yang,B., Peng,W., Jiang,T., Liu,B., Deng,Y., Liu,H., Wang,C., Li,Y., Gan,Y., Li,X., Lu,F., Tan,G., Yang,R., Cao,W., Cong,L., Dong,W., Han,Y., Hu,W., Lei,M., Li,C., Li,G., Li,H., Li,W., Liu,J., Liu,Z., Ni,P., Qi,Q., Sun,Y., Tang,L., Tong,Z., Wang,X., Xi,Y., Xu,Z., Yang,L., Zhang,B., Zhang,F., Zhang,J., Zhang,X., Zhou,J."	15626343						"SARS coronavirus BJ01, complete genome"
AY278489	29757	40.8	0	AY278489.2	"SARS coronavirus GD01, complete genome"	linear	RNA	2003-04-21T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Wu,Q., Zhang,Y., Lu,H., Wang,J., He,X., Liu,Y., Ye,C., Lin,W., Hu,J., Ji,J., Xu,J., Ye,J., Hu,Y., Chen,W., Li,S., Bi,S., Yang,H., Qin,E., Zhu,Q., Yu,M., Fan,B., Chang,G., Si,B., Yang,B., Peng,W., Jiang,T., Liu,B., Deng,Y., Liu,H., Wang,C., Li,Y., Gan,Y., Li,X., Lu,F., Tan,G., Yang,R., Cao,W., Cong,L., Dong,W., Han,Y., Hu,W., Lei,M., Li,C., Li,G., Li,H., Li,W., Liu,J., Liu,Z., Ni,P., Qi,Q., Sun,Y., Tang,L., Tong,Z., Wang,X., Xi,Y., Xu,Z., Yang,L., Zhang,B., Zhang,F., Zhang,J., Zhang,X., Zhou,J."	15626343						"SARS coronavirus GD01, complete genome"
AY278490	29740	40.8	0	AY278490.3	"SARS coronavirus BJ03, complete genome"	linear	RNA	2003-04-21T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Wu,Q., Zhang,Y., Lu,H., Wang,J., He,X., Liu,Y., Ye,C., Lin,W., Hu,J., Ji,J., Xu,J., Ye,J., Hu,Y., Chen,W., Li,S., Bi,S., Yang,H., Qin,E., Zhu,Q., Yu,M., Fan,B., Chang,G., Si,B., Yang,B., Peng,W., Jiang,T., Liu,B., Deng,Y., Liu,H., Wang,C., Li,Y., Gan,Y., Li,X., Lu,F., Tan,G., Yang,R., Cao,W., Cong,L., Dong,W., Han,Y., Hu,W., Lei,M., Li,C., Li,G., Li,H., Li,W., Liu,J., Liu,Z., Ni,P., Qi,Q., Sun,Y., Tang,L., Tong,Z., Wang,X., Xi,Y., Xu,Z., Yang,L., Zhang,B., Zhang,F., Zhang,J., Zhang,X., Zhou,J."	15626343						"SARS coronavirus BJ03, complete genome"
AY278491	29742	40.77	0	AY278491.2	"SARS coronavirus HKU-39849, complete genome"	linear	RNA	2003-04-18T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Zeng,F.Y., Chan,C.W., Chan,M.N., Chen,J.D., Chow,K.Y., Hon,C.C., Hui,K.H., Li,J., Li,V.Y., Wang,C.Y., Wang,P.Y., Guan,Y., Zheng,B., Poon,L.L., Chan,K.H., Yuen,K.Y., Peiris,J.S., Leung,F.C., Zeng,F., Chan,C.W.M., Chan,C.M.Y., Chen,J., Chow,K.Y.C., Hon,C.C.C., Hui,R.K.H., Li,V.Y.Y., Wang,Y., Yuen,K., Peiris,J.S.M., Poon,L.L.M."	"12876307, 12869741"						"SARS coronavirus HKU-39849, complete genome"
AY278554	29736	40.78	0	AY278554.2	"SARS coronavirus CUHK-W1, complete genome"	linear	RNA	2003-04-17T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Tsui,S.K., Chim,S.S., Lo,Y.M., Tsui,S.K.W., Lo,Y.M.D., Tam,J.S., Fung,K.P., Chim,S.S.C., Au,C.C., Chan,A.H., Wan,A.W.K., Au,K.W., Chan,C.W., Kou,C.Y.C., Lam,H.M., Lam,W.Y., Lau,S.K., Lau,Y.L., Lau,Y.M., Law,S.L., Law,T.W., Li,M.L.Y., Tse,C.H., Wong,C.H., Yiu,W.H., Lee,C.Y., Chan,A.K.C., Chiu,R.W.K., Ng,E.K.O., Tong,Y.K., Chan,P.K.S., Au-Yeung,C., Cheung,J.K.L., Chu,I., Hung,E.C.W., Waye,M.M.Y."	12853594	"China: Hong Kong, Prince of Wales Hospital"					"SARS coronavirus CUHK-W1, complete genome"
AY278741	29727	40.8	0	AY278741.1	"SARS coronavirus Urbani, complete genome"	linear	RNA	2003-04-21T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Rota,P.A., Oberste,M.S., Monroe,S.S., Nix,W.A., Campagnoli,R., Icenogle,J.P., Penaranda,S., Bankamp,B., Maher,K., Chen,M.H., Tong,S., Tamin,A., Lowe,L., Frace,M., DeRisi,J.L., Chen,Q., Wang,D., Erdman,D.D., Peret,T.C., Burns,C., Ksiazek,T.G., Rollin,P.E., Sanchez,A., Liffick,S., Holloway,B., Limor,J., McCaustland,K., Olsen-Rasmussen,M., Fouchier,R., Gunther,S., Osterhaus,A.D., Drosten,C., Pallansch,M.A., Anderson,L.J., Bellini,W.J., Campagnoli,R.P."	12730500						"SARS coronavirus Urbani, complete genome"
AY279354	29732	40.79	0	AY279354.2	"SARS coronavirus BJ04, complete genome"	linear	RNA	2003-04-23T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Wu,Q., Zhang,Y., Lu,H., Wang,J., He,X., Liu,Y., Ye,C., Lin,W., Hu,J., Ji,J., Xu,J., Ye,J., Hu,Y., Chen,W., Li,S., Bi,S., Yang,H., Duan,S., Yi,Y., Zhou,Y., Xu,H., Xu,W., Li,R., Dong,X., Cong,L., Deng,Y., Han,Y., Hu,W., Lei,M., Li,C., Li,G., Li,H., Li,W., Liu,J., Liu,Z., Ni,P., Qi,Q., Sun,Y., Tang,L., Tong,Z., Wang,X., Xi,Y., Xu,Z., Yang,L., Zhang,B., Zhang,F., Zhang,J., Zhang,X., Zhou,J., Qin,E., Zhu,Q., Yu,M., Fan,B., Chang,G., Si,B., Yang,B., Peng,W., Jiang,T., Liu,B., Liu,H., Wang,C., Li,Y., Gan,Y., Li,X., Lu,F., Tan,G., Yang,R., Cao,W., Dong,W."	15626343						"SARS coronavirus BJ04, complete genome"
AY282752	29736	40.77	0	AY282752.2	"SARS coronavirus CUHK-Su10, complete genome"	linear	RNA	2003-05-07T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Tsui,S.K., Chim,S.S., Lo,Y.M., Tsui,S.K.W., Chim,S.S.C., Au,T.C.H., Chan,A.K.C., Tse,C.H., Chiu,R.W.K., Au-Yeung,C., Chu,I., Au,K.W., Chan,A.H., Chan,C.W., Kou,C.Y.C., Lam,H.M., Lam,W.Y., Lau,S.K., Lau,Y.L., Lau,Y.M., Law,S.L., Law,P.T.W., Li,M.L.Y., Wan,A.W.K., Wong,C.H., Yiu,W.H., Ng,E.K.O., Tong,Y.K., Cheung,J.L.K., Hung,E.C.W., Lee,C.Y., Fung,K.P., Waye,M.M.Y., Chan,P.K.S., Tam,J.S., Lo,D.Y.M."	12853594						"SARS coronavirus CUHK-Su10, complete genome"
AY283794	29711	40.8	0	AY283794.1	"SARS coronavirus Sin2500, complete genome"	linear	RNA	2003-05-09T00:00:00Z	Severe acute respiratory syndrome-related coronavirus	Betacoronavirus	Coronaviridae	GenBank	complete			"Ruan,Y.J., Wei,C.L., Ee,A.L., Vega,V.B., Thoreau,H., Su,S.T., Chia,J.M., Ng,P., Chiu,K.P., Lim,L., Zhang,T., Peng,C.K., Lin,E.O., Lee,N.M., Yee,S.L., Ng,L.F., Chee,R.E., Stanton,L.W., Long,P.M., Liu,E.T., Chia,J.-M., Lambert,E., Wong,M., Se Thoe,S.Y., Chan,K.P., Ruan,Y."	12781537	Singapore					"SARS coronavirus Sin2500, complete genome"
